#{"t_start": 1760194491.0216901, "env_id": "None"}
r,l,t
-82.165186,59,9.300543
-229.318208,59,15.645803
146.23331,59,21.596111
-155.028081,59,28.501357
-153.196285,59,41.846598
-15.037023,59,51.318884
-250.049152,59,61.644964
-315.660754,59,71.186896
-438.853558,59,79.354631
150.142676,59,86.489774
-425.649338,59,91.661038
-190.710206,59,99.611917
95.64832,59,107.643737
-247.737847,59,113.241248
-200.706022,59,117.957073
-162.646545,59,124.387281
40.958546,59,133.13753
-293.843473,59,143.128445
-147.780143,59,149.042741
94.44456,59,153.99097
-136.913865,59,158.891085
-15.946739,59,163.418895
-116.160175,59,167.853891
-288.705959,59,172.566585
-572.6264,59,178.809111
-123.642236,59,183.594471
-369.955357,59,189.902569
-8.019937,59,194.511593
-452.223672,59,199.698722
-55.84094,59,204.916146
-163.858203,59,209.718817
-364.193312,59,214.305161
5.206044,59,219.48427
-410.265191,59,233.511192
-33.142138,59,238.44045
-75.154574,59,244.451833
-166.636175,59,249.25562
-107.414027,59,258.858457
27.213374,59,268.05904
-639.009159,59,277.150321
391.050648,59,285.356612
-285.75423,59,291.672899
-320.040875,59,297.384739
-245.225167,59,304.501769
87.583189,59,309.265158
-184.212321,59,315.290484
-61.811429,59,321.09532
-427.591824,59,326.11127
140.58858,59,331.917066
-89.741022,59,340.564312
-384.645176,59,345.96612
-223.648791,59,351.722501
-98.984454,59,358.077281
-91.572035,59,365.099639
-266.506547,59,369.550918
-447.812538,59,373.948723
-87.564883,59,378.137989
-87.838652,59,382.451043
-37.899884,59,386.717022
-257.25677,59,391.120053
-393.062843,59,395.931526
-558.09583,59,400.647186
161.994453,59,404.919683
-289.348943,59,411.636567
-196.122932,59,415.863998
121.234818,59,420.041746
-245.445334,59,424.167194
93.424391,59,435.107496
314.52652,59,439.178682
-542.935481,59,443.760604
290.307884,59,447.808933
-698.391191,59,451.943958
-235.626192,59,456.119885
-192.38457,59,460.164625
365.046726,59,464.301469
82.849974,59,468.343901
-87.99065,59,472.469352
58.188189,59,476.668401
-74.147111,59,481.203436
-42.62959,59,486.15766
282.167867,59,490.512059
-240.011888,59,494.621295
-7.182566,59,498.661779
99.803232,59,502.726774
-45.951889,59,506.92295
-269.904478,59,510.972668
