#{"t_start": 1760194495.538789, "env_id": "None"}
r,l,t
-81.021626,59,223.992855
-81.021626,59,226.231001
-81.021626,59,228.432359
-27.185524,59,425.419646
-27.185524,59,427.569866
-27.185524,59,429.69306
1,59,61.632483
218.312986,59,71.161774
-223.883042,59,79.331895
-242.38333,59,86.493122
-236.922578,59,91.667202
15.222932,59,99.602492
-392.815305,59,107.650598
-282.273962,59,113.24361
-342.498256,59,117.971882
-325.411674,59,124.395378
-82.920839,59,133.139816
-234.954993,59,143.145717
-585.13431,59,149.034686
65.016979,59,153.996443
-285.509152,59,158.902756
-88.67871,59,163.436857
-270.051459,59,167.872341
-239.791314,59,172.587285
-333.43169,59,178.816075
-238.04076,59,183.592085
-339.267035,59,189.859073
-126.675452,59,194.527512
-373.701021,59,199.702854
-199.970901,59,204.920978
151.263808,59,209.735381
-254.765206,59,214.324229
-13.932795,59,219.501242
2.092965,59,233.529193
-158.998593,59,238.456071
151.323445,59,244.458026
-273.03955,59,249.270554
-145.936222,59,258.810455
71.528718,59,268.067819
-322.536347,59,277.08779
-77.845356,59,285.347163
-71.216628,59,291.685583
-380.661109,59,297.342506
-231.071475,59,304.508766
-69.786534,59,309.263086
281.593034,59,315.289365
-687.132934,59,321.047092
-153.185535,59,326.121595
-152.182033,59,331.919822
-316.198773,59,340.567843
-291.244589,59,345.972556
-183.488535,59,351.709922
-253.965521,59,358.079916
-185.178294,59,365.114911
117.887398,59,369.562535
-72.29266,59,373.958944
112.09164,59,378.155612
-109.647684,59,382.448187
11.20302,59,386.73991
-181.439009,59,391.138653
47.583882,59,395.944242
96.086303,59,400.660614
-69.822249,59,404.936559
-334.490934,59,411.65515
208.328253,59,415.874605
-507.358097,59,420.055231
102.133085,59,424.185818
-85.795303,59,435.123478
-663.76646,59,439.199415
85.340115,59,443.769563
-234.237474,59,447.825105
-49.20127,59,451.957951
206.419086,59,456.140591
-83.637967,59,460.180734
-380.856123,59,464.31953
-151.276783,59,468.355162
216.426023,59,472.471741
0.899609,59,476.68883
138.450034,59,481.206236
-523.765496,59,486.152169
86.257773,59,490.522255
-325.601924,59,494.644716
113.275652,59,498.682082
-215.507608,59,502.749534
-258.91715,59,506.94074
357.325118,59,510.989555
