Price,Adj Close,Close,High,Low,Open,Volume
Ticker,ATO.PA,ATO.PA,ATO.PA,ATO.PA,ATO.PA,ATO.PA
Date,,,,,,
2018-03-28,6179.33154296875,6179.3564453125,6179.3564453125,6021.12890625,6080.46435546875,7626
2018-03-29,6278.2236328125,6278.2490234375,6306.50390625,6153.92724609375,6210.43701171875,7134
2018-04-03,6182.1572265625,6182.18212890625,6235.8662109375,6142.625,6216.087890625,6894
2018-04-04,6038.05712890625,6038.08154296875,6196.3095703125,6029.60546875,6190.65869140625,6929
2018-04-05,6298.00146484375,6298.02734375,6298.02734375,6153.92724609375,6165.22900390625,7189
2018-04-06,6323.4306640625,6323.45654296875,6337.583984375,6275.42333984375,6286.72509765625,4610
2018-04-09,6405.3701171875,6405.39599609375,6411.046875,6337.583984375,6340.40966796875,5529
2018-04-10,6377.115234375,6377.14111328125,6453.4296875,6354.537109375,6433.65087890625,7357
2018-04-11,6334.73291015625,6334.7587890625,6363.013671875,6306.50390625,6360.18798828125,5092
2018-04-12,6394.068359375,6394.09423828125,6399.7451171875,6252.8193359375,6334.7587890625,6688
2018-04-13,6478.83251953125,6478.85888671875,6484.509765625,6388.44287109375,6402.57080078125,5132
2018-04-16,6227.365234375,6227.39013671875,6484.509765625,6227.39013671875,6478.85888671875,7675
2018-04-17,6303.65234375,6303.67822265625,6348.88623046875,6218.91357421875,6249.99365234375,4892
2018-04-18,6289.525390625,6289.55078125,6317.8056640625,6255.64501953125,6312.15478515625,4115
2018-04-19,6218.888671875,6218.91357421875,6306.50390625,6218.91357421875,6295.20166015625,4143
2018-04-20,6235.84130859375,6235.8662109375,6278.2490234375,6201.96044921875,6224.564453125,5372
2018-04-23,6252.7939453125,6252.8193359375,6283.89990234375,6218.91357421875,6238.69189453125,4478
2018-04-24,6142.60009765625,6142.625,6261.2958984375,6122.8466796875,6244.3427734375,6168
2018-04-25,6286.69970703125,6286.72509765625,6326.2822265625,6060.685546875,6103.068359375,8115
2018-04-26,6227.365234375,6227.39013671875,6368.66455078125,6221.73876953125,6368.66455078125,7569
2018-04-27,6405.3701171875,6405.39599609375,6405.39599609375,6233.041015625,6233.041015625,7751
2018-04-30,6323.4306640625,6323.45654296875,6428.0,6303.67822265625,6428.0,6612
2018-05-02,6165.2041015625,6165.22900390625,6391.2685546875,6165.22900390625,6343.2353515625,10046
2018-05-03,6249.96826171875,6249.99365234375,6289.55078125,6162.4033203125,6176.53076171875,7120
2018-05-04,6221.7138671875,6221.73876953125,6343.2353515625,6207.611328125,6300.8525390625,6093
2018-05-07,6275.39794921875,6275.42333984375,6317.8056640625,6204.7861328125,6216.087890625,5506
2018-05-08,6329.08203125,6329.10791015625,6340.40966796875,6258.47021484375,6272.59765625,4906
2018-05-09,6283.87451171875,6283.89990234375,6334.7587890625,6278.2490234375,6317.8056640625,4076
2018-05-10,6306.47802734375,6306.50390625,6326.2822265625,6269.7724609375,6286.72509765625,3504
2018-05-11,6258.44482421875,6258.47021484375,6312.15478515625,6258.47021484375,6312.15478515625,4372
2018-05-14,6295.17578125,6295.20166015625,6374.3154296875,6252.8193359375,6261.2958984375,4429
2018-05-15,6419.49755859375,6419.5234375,6481.6845703125,6295.20166015625,6298.02734375,11077
2018-05-16,6600.328125,6600.35498046875,6603.1806640625,6385.61767578125,6394.09423828125,10462
2018-05-17,6526.86572265625,6526.89208984375,6611.6572265625,6476.033203125,6606.00634765625,7746
2018-05-18,6495.78564453125,6495.81201171875,6543.84521484375,6456.2548828125,6512.7646484375,5823
2018-05-21,6509.9130859375,6509.939453125,6529.7177734375,6478.85888671875,6501.462890625,3118
2018-05-22,6490.134765625,6490.1611328125,6555.1474609375,6481.6845703125,6529.7177734375,4922
2018-05-23,6416.67236328125,6416.6982421875,6512.7646484375,6402.57080078125,6456.2548828125,5165
2018-05-24,6470.35595703125,6470.38232421875,6549.49609375,6428.0,6433.65087890625,5713
2018-05-25,6540.99365234375,6541.02001953125,6594.7041015625,6487.33544921875,6526.89208984375,5029
2018-05-28,6552.29541015625,6552.32177734375,6577.75146484375,6512.7646484375,6566.44921875,3007
2018-05-29,6430.7998046875,6430.82568359375,6512.7646484375,6411.046875,6498.63720703125,6340
2018-05-30,6427.97412109375,6428.0,6439.3017578125,6351.71142578125,6436.4765625,4607
2018-05-31,6566.4228515625,6566.44921875,6566.44921875,6323.45654296875,6360.18798828125,15262
2018-06-01,6673.79052734375,6673.81787109375,6769.884765625,6518.416015625,6589.05322265625,10740
