#{"t_start": 1759928048.6096509, "env_id": "None"}
r,l,t
--81.021626,59,198.059177
-81.021626,59,200.428873
-81.021626,59,202.837469
-27.185524,59,371.468304
-27.185524,59,373.597221
-27.185524,59,375.813283
1,59,31.259777
218.312986,59,37.24672
-223.883042,59,43.096013
-242.38333,59,48.403737
-236.922578,59,53.366194
15.222932,59,58.930024
-392.815305,59,63.587018
-282.273962,59,68.226985
-342.498256,59,72.378694
-325.411674,59,76.735381
-82.920839,59,81.344575
-234.954993,59,86.335746
-585.13431,59,90.600668
65.016979,59,94.977855
-285.509152,59,99.399376
-88.67871,59,104.331005
-270.051459,59,111.150407
-239.791314,59,118.432415
-333.43169,59,124.940915
-238.04076,59,134.816867
-339.267035,59,144.121134
-126.675452,59,151.728783
-373.701021,59,159.913051
-199.970901,59,167.094965
151.263808,59,175.25369
-254.765206,59,183.0258
-13.932795,59,191.74998
2.092965,59,205.422894
-158.998593,59,212.030663
151.323445,59,218.577857
-273.03955,59,224.296371
-145.936222,59,230.490801
71.528718,59,238.044844
-322.536347,59,245.297242
-77.845356,59,249.581601
-71.216628,59,254.106676
-380.661109,59,258.952362
-231.071475,59,263.212958
-69.786534,59,267.146628
281.593034,59,271.353969
-687.132934,59,276.25932
-153.185535,59,280.883803
-152.182033,59,285.703771
-316.198773,59,290.081606
-291.244589,59,294.119969
-183.488535,59,298.648735
-253.965521,59,303.265402
-185.178294,59,307.55759
117.887398,59,311.930684
-72.29266,59,317.503306
112.09164,59,322.799423
-109.647684,59,328.416316
11.20302,59,332.95412
-181.439009,59,337.229555
47.583882,59,341.607031
96.086303,59,345.726627
-69.822249,59,350.88084
-334.490934,59,355.62934
208.328253,59,359.541548
-507.358097,59,363.673171
102.133085,59,367.803454
-85.795303,59,378.545811
-663.76646,59,382.526584
85.340115,59,386.855105
-234.237474,59,390.884071
-49.20127,59,395.018539
206.419086,59,399.15328
-83.637967,59,403.102711
-380.856123,59,407.736967
-151.276783,59,412.452146
216.426023,59,418.559072
0.899609,59,422.700505
138.450034,59,426.995374
-523.765496,59,431.70466
86.257773,59,435.749648
-325.601924,59,439.742741
113.275652,59,443.584198
-215.507608,59,447.845404
-258.91715,59,452.454409
357.325118,59,457.502291
